state_name,year,ID
ALABAMA,2013,1301
ALASKA,2013,1302
ARIZONA,2013,1303
ARKANSAS,2013,1304
CALIFORNIA,2013,1305
COLORADO,2013,1306
CONNECTICUT,2013,1307
DELAWARE,2013,1308
FLORIDA,2013,1309
GEORGIA,2013,1310
HAWAII,2013,1311
IDAHO,2013,1312
ILLINOIS,2013,1313
INDIANA,2013,1314
IOWA,2013,1315
KANSAS,2013,1316
KENTUCKY,2013,1317
LOUISIANA,2013,1318
MAINE,2013,1319
MARYLAND,2013,1320
MASSACHUSETTS,2013,1321
MICHIGAN,2013,1322
MINNESOTA,2013,1323
MISSISSIPPI,2013,1324
MISSOURI,2013,1325
MONTANA,2013,1326
NEBRASKA,2013,1327
NEVADA,2013,1328
NEW HAMPSHIRE,2013,1329
NEW JERSEY,2013,1330
NEW MEXICO,2013,1331
NEW YORK,2013,1332
NORTH CAROLINA,2013,1333
NORTH DAKOTA,2013,1334
OHIO,2013,1335
OKLAHOMA,2013,1336
OREGON,2013,1337
PENNSYLVANIA,2013,1338
RHODE ISLAND,2013,1339
SOUTH CAROLINA,2013,1340
SOUTH DAKOTA,2013,1341
TENNESSEE,2013,1342
TEXAS,2013,1343
UTAH,2013,1344
VERMONT,2013,1345
VIRGINIA,2013,1346
WASHINGTON,2013,1347
WEST VIRGINIA,2013,1348
WISCONSIN,2013,1349
WYOMING,2013,1350
ALABAMA,2014,1351
ALASKA,2014,1352
ARIZONA,2014,1353
ARKANSAS,2014,1354
CALIFORNIA,2014,1355
COLORADO,2014,1356
CONNECTICUT,2014,1357
DELAWARE,2014,1358
FLORIDA,2014,1359
GEORGIA,2014,1360
HAWAII,2014,1361
IDAHO,2014,1362
ILLINOIS,2014,1363
INDIANA,2014,1364
IOWA,2014,1365
KANSAS,2014,1366
KENTUCKY,2014,1367
LOUISIANA,2014,1368
MAINE,2014,1369
MARYLAND,2014,1370
MASSACHUSETTS,2014,1371
MICHIGAN,2014,1372
MINNESOTA,2014,1373
MISSISSIPPI,2014,1374
MISSOURI,2014,1375
MONTANA,2014,1376
NEBRASKA,2014,1377
NEVADA,2014,1378
NEW HAMPSHIRE,2014,1379
NEW JERSEY,2014,1380
NEW MEXICO,2014,1381
NEW YORK,2014,1382
NORTH CAROLINA,2014,1383
NORTH DAKOTA,2014,1384
OHIO,2014,1385
OKLAHOMA,2014,1386
OREGON,2014,1387
PENNSYLVANIA,2014,1388
RHODE ISLAND,2014,1389
SOUTH CAROLINA,2014,1390
SOUTH DAKOTA,2014,1391
TENNESSEE,2014,1392
TEXAS,2014,1393
UTAH,2014,1394
VERMONT,2014,1395
VIRGINIA,2014,1396
WASHINGTON,2014,1397
WEST VIRGINIA,2014,1398
WISCONSIN,2014,1399
WYOMING,2014,1400
ALABAMA,2015,1401
ALASKA,2015,1402
ARIZONA,2015,1403
ARKANSAS,2015,1404
CALIFORNIA,2015,1405
COLORADO,2015,1406
CONNECTICUT,2015,1407
DELAWARE,2015,1408
FLORIDA,2015,1409
GEORGIA,2015,1410
HAWAII,2015,1411
IDAHO,2015,1412
ILLINOIS,2015,1413
INDIANA,2015,1414
IOWA,2015,1415
KANSAS,2015,1416
KENTUCKY,2015,1417
LOUISIANA,2015,1418
MAINE,2015,1419
MARYLAND,2015,1420
MASSACHUSETTS,2015,1421
MICHIGAN,2015,1422
MINNESOTA,2015,1423
MISSISSIPPI,2015,1424
MISSOURI,2015,1425
MONTANA,2015,1426
NEBRASKA,2015,1427
NEVADA,2015,1428
NEW HAMPSHIRE,2015,1429
NEW JERSEY,2015,1430
NEW MEXICO,2015,1431
NEW YORK,2015,1432
NORTH CAROLINA,2015,1433
NORTH DAKOTA,2015,1434
OHIO,2015,1435
OKLAHOMA,2015,1436
OREGON,2015,1437
PENNSYLVANIA,2015,1438
RHODE ISLAND,2015,1439
SOUTH CAROLINA,2015,1440
SOUTH DAKOTA,2015,1441
TENNESSEE,2015,1442
TEXAS,2015,1443
UTAH,2015,1444
VERMONT,2015,1445
VIRGINIA,2015,1446
WASHINGTON,2015,1447
WEST VIRGINIA,2015,1448
WISCONSIN,2015,1449
WYOMING,2015,1450
ALABAMA,2016,1451
ALASKA,2016,1452
ARIZONA,2016,1453
ARKANSAS,2016,1454
CALIFORNIA,2016,1455
COLORADO,2016,1456
CONNECTICUT,2016,1457
DELAWARE,2016,1458
FLORIDA,2016,1459
GEORGIA,2016,1460
HAWAII,2016,1461
IDAHO,2016,1462
ILLINOIS,2016,1463
INDIANA,2016,1464
IOWA,2016,1465
KANSAS,2016,1466
KENTUCKY,2016,1467
LOUISIANA,2016,1468
MAINE,2016,1469
MARYLAND,2016,1470
MASSACHUSETTS,2016,1471
MICHIGAN,2016,1472
MINNESOTA,2016,1473
MISSISSIPPI,2016,1474
MISSOURI,2016,1475
MONTANA,2016,1476
NEBRASKA,2016,1477
NEVADA,2016,1478
NEW HAMPSHIRE,2016,1479
NEW JERSEY,2016,1480
NEW MEXICO,2016,1481
NEW YORK,2016,1482
NORTH CAROLINA,2016,1483
NORTH DAKOTA,2016,1484
OHIO,2016,1485
OKLAHOMA,2016,1486
OREGON,2016,1487
PENNSYLVANIA,2016,1488
RHODE ISLAND,2016,1489
SOUTH CAROLINA,2016,1490
SOUTH DAKOTA,2016,1491
TENNESSEE,2016,1492
TEXAS,2016,1493
UTAH,2016,1494
VERMONT,2016,1495
VIRGINIA,2016,1496
WASHINGTON,2016,1497
WEST VIRGINIA,2016,1498
WISCONSIN,2016,1499
WYOMING,2016,1500
ALABAMA,2017,1501
ALASKA,2017,1502
ARIZONA,2017,1503
ARKANSAS,2017,1504
CALIFORNIA,2017,1505
COLORADO,2017,1506
CONNECTICUT,2017,1507
DELAWARE,2017,1508
FLORIDA,2017,1509
GEORGIA,2017,1510
HAWAII,2017,1511
IDAHO,2017,1512
ILLINOIS,2017,1513
INDIANA,2017,1514
IOWA,2017,1515
KANSAS,2017,1516
KENTUCKY,2017,1517
LOUISIANA,2017,1518
MAINE,2017,1519
MARYLAND,2017,1520
MASSACHUSETTS,2017,1521
MICHIGAN,2017,1522
MINNESOTA,2017,1523
MISSISSIPPI,2017,1524
MISSOURI,2017,1525
MONTANA,2017,1526
NEBRASKA,2017,1527
NEVADA,2017,1528
NEW HAMPSHIRE,2017,1529
NEW JERSEY,2017,1530
NEW MEXICO,2017,1531
NEW YORK,2017,1532
NORTH CAROLINA,2017,1533
NORTH DAKOTA,2017,1534
OHIO,2017,1535
OKLAHOMA,2017,1536
OREGON,2017,1537
PENNSYLVANIA,2017,1538
RHODE ISLAND,2017,1539
SOUTH CAROLINA,2017,1540
SOUTH DAKOTA,2017,1541
TENNESSEE,2017,1542
TEXAS,2017,1543
UTAH,2017,1544
VERMONT,2017,1545
VIRGINIA,2017,1546
WASHINGTON,2017,1547
WEST VIRGINIA,2017,1548
WISCONSIN,2017,1549
WYOMING,2017,1550
ALABAMA,2018,1551
ALASKA,2018,1552
ARIZONA,2018,1553
ARKANSAS,2018,1554
CALIFORNIA,2018,1555
COLORADO,2018,1556
CONNECTICUT,2018,1557
DELAWARE,2018,1558
FLORIDA,2018,1559
GEORGIA,2018,1560
HAWAII,2018,1561
IDAHO,2018,1562
ILLINOIS,2018,1563
INDIANA,2018,1564
IOWA,2018,1565
KANSAS,2018,1566
KENTUCKY,2018,1567
LOUISIANA,2018,1568
MAINE,2018,1569
MARYLAND,2018,1570
MASSACHUSETTS,2018,1571
MICHIGAN,2018,1572
MINNESOTA,2018,1573
MISSISSIPPI,2018,1574
MISSOURI,2018,1575
MONTANA,2018,1576
NEBRASKA,2018,1577
NEVADA,2018,1578
NEW HAMPSHIRE,2018,1579
NEW JERSEY,2018,1580
NEW MEXICO,2018,1581
NEW YORK,2018,1582
NORTH CAROLINA,2018,1583
NORTH DAKOTA,2018,1584
OHIO,2018,1585
OKLAHOMA,2018,1586
OREGON,2018,1587
PENNSYLVANIA,2018,1588
RHODE ISLAND,2018,1589
SOUTH CAROLINA,2018,1590
SOUTH DAKOTA,2018,1591
TENNESSEE,2018,1592
TEXAS,2018,1593
UTAH,2018,1594
VERMONT,2018,1595
VIRGINIA,2018,1596
WASHINGTON,2018,1597
WEST VIRGINIA,2018,1598
WISCONSIN,2018,1599
WYOMING,2018,1600
ALABAMA,2019,1601
ALASKA,2019,1602
ARIZONA,2019,1603
ARKANSAS,2019,1604
CALIFORNIA,2019,1605
COLORADO,2019,1606
CONNECTICUT,2019,1607
DELAWARE,2019,1608
FLORIDA,2019,1609
GEORGIA,2019,1610
HAWAII,2019,1611
IDAHO,2019,1612
ILLINOIS,2019,1613
INDIANA,2019,1614
IOWA,2019,1615
KANSAS,2019,1616
KENTUCKY,2019,1617
LOUISIANA,2019,1618
MAINE,2019,1619
MARYLAND,2019,1620
MASSACHUSETTS,2019,1621
MICHIGAN,2019,1622
MINNESOTA,2019,1623
MISSISSIPPI,2019,1624
MISSOURI,2019,1625
MONTANA,2019,1626
NEBRASKA,2019,1627
NEVADA,2019,1628
NEW HAMPSHIRE,2019,1629
NEW JERSEY,2019,1630
NEW MEXICO,2019,1631
NEW YORK,2019,1632
NORTH CAROLINA,2019,1633
NORTH DAKOTA,2019,1634
OHIO,2019,1635
OKLAHOMA,2019,1636
OREGON,2019,1637
PENNSYLVANIA,2019,1638
RHODE ISLAND,2019,1639
SOUTH CAROLINA,2019,1640
SOUTH DAKOTA,2019,1641
TENNESSEE,2019,1642
TEXAS,2019,1643
UTAH,2019,1644
VERMONT,2019,1645
VIRGINIA,2019,1646
WASHINGTON,2019,1647
WEST VIRGINIA,2019,1648
WISCONSIN,2019,1649
WYOMING,2019,1650
ALABAMA,2020,1651
ALASKA,2020,1652
ARIZONA,2020,1653
ARKANSAS,2020,1654
CALIFORNIA,2020,1655
COLORADO,2020,1656
CONNECTICUT,2020,1657
DELAWARE,2020,1658
FLORIDA,2020,1659
GEORGIA,2020,1660
HAWAII,2020,1661
IDAHO,2020,1662
ILLINOIS,2020,1663
INDIANA,2020,1664
IOWA,2020,1665
KANSAS,2020,1666
KENTUCKY,2020,1667
LOUISIANA,2020,1668
MAINE,2020,1669
MARYLAND,2020,1670
MASSACHUSETTS,2020,1671
MICHIGAN,2020,1672
MINNESOTA,2020,1673
MISSISSIPPI,2020,1674
MISSOURI,2020,1675
MONTANA,2020,1676
NEBRASKA,2020,1677
NEVADA,2020,1678
NEW HAMPSHIRE,2020,1679
NEW JERSEY,2020,1680
NEW MEXICO,2020,1681
NEW YORK,2020,1682
NORTH CAROLINA,2020,1683
NORTH DAKOTA,2020,1684
OHIO,2020,1685
OKLAHOMA,2020,1686
OREGON,2020,1687
PENNSYLVANIA,2020,1688
RHODE ISLAND,2020,1689
SOUTH CAROLINA,2020,1690
SOUTH DAKOTA,2020,1691
TENNESSEE,2020,1692
TEXAS,2020,1693
UTAH,2020,1694
VERMONT,2020,1695
VIRGINIA,2020,1696
WASHINGTON,2020,1697
WEST VIRGINIA,2020,1698
WISCONSIN,2020,1699
WYOMING,2020,1700
ALABAMA,2021,1701
ALASKA,2021,1702
ARIZONA,2021,1703
ARKANSAS,2021,1704
CALIFORNIA,2021,1705
COLORADO,2021,1706
CONNECTICUT,2021,1707
DELAWARE,2021,1708
FLORIDA,2021,1709
GEORGIA,2021,1710
HAWAII,2021,1711
IDAHO,2021,1712
ILLINOIS,2021,1713
INDIANA,2021,1714
IOWA,2021,1715
KANSAS,2021,1716
KENTUCKY,2021,1717
LOUISIANA,2021,1718
MAINE,2021,1719
MARYLAND,2021,1720
MASSACHUSETTS,2021,1721
MICHIGAN,2021,1722
MINNESOTA,2021,1723
MISSISSIPPI,2021,1724
MISSOURI,2021,1725
MONTANA,2021,1726
NEBRASKA,2021,1727
NEVADA,2021,1728
NEW HAMPSHIRE,2021,1729
NEW JERSEY,2021,1730
NEW MEXICO,2021,1731
NEW YORK,2021,1732
NORTH CAROLINA,2021,1733
NORTH DAKOTA,2021,1734
OHIO,2021,1735
OKLAHOMA,2021,1736
OREGON,2021,1737
PENNSYLVANIA,2021,1738
RHODE ISLAND,2021,1739
SOUTH CAROLINA,2021,1740
SOUTH DAKOTA,2021,1741
TENNESSEE,2021,1742
TEXAS,2021,1743
UTAH,2021,1744
VERMONT,2021,1745
VIRGINIA,2021,1746
WASHINGTON,2021,1747
WEST VIRGINIA,2021,1748
WISCONSIN,2021,1749
WYOMING,2021,1750
ALABAMA,2022,1751
ALASKA,2022,1752
ARIZONA,2022,1753
ARKANSAS,2022,1754
CALIFORNIA,2022,1755
COLORADO,2022,1756
CONNECTICUT,2022,1757
DELAWARE,2022,1758
FLORIDA,2022,1759
GEORGIA,2022,1760
HAWAII,2022,1761
IDAHO,2022,1762
ILLINOIS,2022,1763
INDIANA,2022,1764
IOWA,2022,1765
KANSAS,2022,1766
KENTUCKY,2022,1767
LOUISIANA,2022,1768
MAINE,2022,1769
MARYLAND,2022,1770
MASSACHUSETTS,2022,1771
MICHIGAN,2022,1772
MINNESOTA,2022,1773
MISSISSIPPI,2022,1774
MISSOURI,2022,1775
MONTANA,2022,1776
NEBRASKA,2022,1777
NEVADA,2022,1778
NEW HAMPSHIRE,2022,1779
NEW JERSEY,2022,1780
NEW MEXICO,2022,1781
NEW YORK,2022,1782
NORTH CAROLINA,2022,1783
NORTH DAKOTA,2022,1784
OHIO,2022,1785
OKLAHOMA,2022,1786
OREGON,2022,1787
PENNSYLVANIA,2022,1788
RHODE ISLAND,2022,1789
SOUTH CAROLINA,2022,1790
SOUTH DAKOTA,2022,1791
TENNESSEE,2022,1792
TEXAS,2022,1793
UTAH,2022,1794
VERMONT,2022,1795
VIRGINIA,2022,1796
WASHINGTON,2022,1797
WEST VIRGINIA,2022,1798
WISCONSIN,2022,1799
WYOMING,2022,1800
ALABAMA,2023,1801
ALASKA,2023,1802
ARIZONA,2023,1803
ARKANSAS,2023,1804
CALIFORNIA,2023,1805
COLORADO,2023,1806
CONNECTICUT,2023,1807
DELAWARE,2023,1808
FLORIDA,2023,1809
GEORGIA,2023,1810
HAWAII,2023,1811
IDAHO,2023,1812
ILLINOIS,2023,1813
INDIANA,2023,1814
IOWA,2023,1815
KANSAS,2023,1816
KENTUCKY,2023,1817
LOUISIANA,2023,1818
MAINE,2023,1819
MARYLAND,2023,1820
MASSACHUSETTS,2023,1821
MICHIGAN,2023,1822
MINNESOTA,2023,1823
MISSISSIPPI,2023,1824
MISSOURI,2023,1825
MONTANA,2023,1826
NEBRASKA,2023,1827
NEVADA,2023,1828
NEW HAMPSHIRE,2023,1829
NEW JERSEY,2023,1830
NEW MEXICO,2023,1831
NEW YORK,2023,1832
NORTH CAROLINA,2023,1833
NORTH DAKOTA,2023,1834
OHIO,2023,1835
OKLAHOMA,2023,1836
OREGON,2023,1837
PENNSYLVANIA,2023,1838
RHODE ISLAND,2023,1839
SOUTH CAROLINA,2023,1840
SOUTH DAKOTA,2023,1841
TENNESSEE,2023,1842
TEXAS,2023,1843
UTAH,2023,1844
VERMONT,2023,1845
VIRGINIA,2023,1846
WASHINGTON,2023,1847
WEST VIRGINIA,2023,1848
WISCONSIN,2023,1849
WYOMING,2023,1850
