claimed,revisit,state,policy,adoption,adoption_year,comments/notes
Margot,Margot,Alabama,same_sex_marriage_ban,1,1996,"executive order in 96, statute in 98, and constitutional amendment in 06"
Margot,Margot,Alaska,same_sex_marriage_ban,1,1996,passed by the legislature
Margot,Margot,Arizona,same_sex_marriage_ban,1,1996,"statute in 96, constitutional amendment approved by voters in 08"
Margot,Margot,Arkansas,same_sex_marriage_ban,1,1997,passed by the legislature
Margot,Margot,California,same_sex_marriage_ban,1,1977,"legislature revised existing marraige law in 77, State court ruled legal in 2008, prop 8 banned in 2008, supreme court overturned prop 8 in 2013"
Margot,Margot,Colorado,same_sex_marriage_ban,1,2000,"passed by the legislature, gov signed after two previous vetos in 96 and 97, constitutional amendment passed by voters in 06"
Margot,Margot,Connecticut,same_sex_marriage_ban,0,,"as far as i can tell—not fully banned, but not protected either"
Margot,Margot,Delaware,same_sex_marriage_ban,,,
Margot,Margot,Florida,same_sex_marriage_ban,1,1977,"statute, constitutional amendment passed by voters in 08"
Margot,Margot,Georgia,same_sex_marriage_ban,1,2004,constitutional amendment passed by voters
Margot,Margot,Hawaii,same_sex_marriage_ban,1,1998,constitutional amendment passed by voters
Margot,Margot,Idaho,same_sex_marriage_ban,1,1995,legislature amended existing marraige statutes
Margot,Margot,Illinois,same_sex_marriage_ban,1,1996,legislature amended existing marraige statutes
Margot,Margot,Indiana,same_sex_marriage_ban,1,1986,statute 
Margot,Margot,Iowa,same_sex_marriage_ban,0,,
Margot,Margot,Kansas,same_sex_marriage_ban,1,1996,"banned by legislature in 1996, constitutional amendment passed by legislature and voters in 05"
Margot,Margot,Kentucky,same_sex_marriage_ban,1,1998,"banned by legislature in 1998, constitutional amendment passed voters in 04"
Margot,Margot,Louisiana,same_sex_marriage_ban,1,1988,"civil code was expanded to ban in 88, voters passed const amendment in 04"
Margot,Margot,Maine,same_sex_marriage_ban,1,1997,passed by legislature
Margot,Margot,Maryland,same_sex_marriage_ban,1,1973,"passed by legislature, first same-sex marriage ban in the country"
Margot,Margot,Massachusetts,same_sex_marriage_ban,0,,
Margot,Margot,Michigan,same_sex_marriage_ban,1,1995,"passed by legislature, constitutional amendment approved by voters in 04"
Margot,Margot,Minnesota,same_sex_marriage_ban,1,1997,statute
Margot,Margot,Mississippi,same_sex_marriage_ban,1,1996,"executive order in 96, legislature in 97, constitutional amendment by legislature and voters in 04"
Margot,Margot,Missouri,same_sex_marriage_ban,1,2004,
Margot,Margot,Montana,same_sex_marriage_ban,1,1997,"legislature in 97, constitutional amendment approved by voters in 04"
Margot,Margot,Nebraska,same_sex_marriage_ban,1,2000,constitutional amendment passed by voters
Margot,Margot,Nevada,same_sex_marriage_ban,1,2002,constitutional amendment passed by voters in 2000 and 2002 (had to win twice in NV)
Margot,Margot,New Hampshire,same_sex_marriage_ban,1,1987,modification to state statutes
Margot,Margot,New Jersey,same_sex_marriage_ban,0,,
Margot,Margot,New Mexico,same_sex_marriage_ban,0,,"some legislative efforts to ban were made in 2000s, but none succeded, same sex marraige was decided on the county level, but was hard to obtain"
Margot,Margot,New York,same_sex_marriage_ban,1,1990,court ruling
Margot,Margot,North Carolina,same_sex_marriage_ban,1,1996,"statute in 96, constitutional amendment passed in 2012"
Margot,Margot,North Dakota,same_sex_marriage_ban,1,,"constitutional amendment in 2004, but i believe it was banned by statute before that"
Margot,Margot,Ohio,same_sex_marriage_ban,1,2004,"state legislature passed ban and gov signed, later in the year it was banned by constitutional amendment approved by voters"
Margot,Margot,Oklahoma,same_sex_marriage_ban,1,1975,"legislature passed statute defining marraige as one man and one woman, a constitutional amendment was passed by leg and approved by voters in 2004"
Margot,Margot,Oregon,same_sex_marriage_ban,1,2004,voters passed constitutional amendment
Margot,Margot,Pennsylvania,same_sex_marriage_ban,1,1996,statute passed as bill amendment by legislature
Margot,Margot,Rhode Island,same_sex_marriage_ban,0,,"from what i can tell, it seems that it was never formally banned but also not able to be obtained"
Margot,Margot,South Carolina,same_sex_marriage_ban,1,1996,banned in 96 by statute and in 06 by constitutional amendment passed by leg and approved by voters
Margot,Margot,South Dakota,same_sex_marriage_ban,1,2006,banned by constutional amendment passed by voters in 06 but there may have been existing statures banning it at the time?
Margot,Margot,Tennessee,same_sex_marriage_ban,1,1996,banned by statute in 96 and by constitutional amendment proposed by leg and approved by voters in 04
Margot,Margot,Texas,same_sex_marriage_ban,1,1973,"banned by statute in 73, 97, and 03"
Margot,Margot,Utah,same_sex_marriage_ban,1,1977,"banned in 77 by statute, further banned in 04 by statute"
Margot,Margot,Vermont,same_sex_marriage_ban,,,seems to not be formally banned by also not really allowed
Margot,Margot,Virginia,same_sex_marriage_ban,1,1975,"code amended to ban in 75, constitutional amendment passed by two legislatures and voters in 06"
Margot,Margot,Washington,same_sex_marriage_ban,1,1974,"appears to have been not formally banned but not protected as early as 1971, although court case in 74 interpreted marraige statutes to ban it, was also banned by leg over gov veto in 98"
Margot,Margot,West Virginia,same_sex_marriage_ban,1,,"it was banned by statute, not sure what year"
Margot,Margot,Wisconsin,same_sex_marriage_ban,1,2006,constitutional amendment passed by leg and approged by voters
Margot,Margot,Wyoming,same_sex_marriage_ban,1,1977,"statute in 77, more explicit statute in 03"
Margot,Margot,Alabama,same_sex_mariage_legal,1,2015,Obergefell
Margot,Margot,Alaska,same_sex_mariage_legal,1,2014,federal court ruling
Margot,Margot,Arizona,same_sex_mariage_legal,1,2014,federal court ruling
Margot,Margot,Arkansas,same_sex_mariage_legal,1,2015,"Obergefell, was also legal for some parts of 2014 due to court cases (state court case descision that was later rejected by the state supreme court, and federal court case that was in the appeal process when Obergefell was handed down)"
Margot,Margot,California,same_sex_mariage_legal,1,2013,"State court ruled legal in 2008, prop 8 banned in 2008, supreme court overturned prop 8 in 2013"
Margot,Margot,Colorado,same_sex_mariage_legal,1,2014,"federal district court, state supreme court"
Margot,Margot,Connecticut,same_sex_mariage_legal,1,2008,state court  
Margot,Margot,Delaware,same_sex_mariage_legal,1,2013,passed by the legislature
Margot,Margot,Florida,same_sex_mariage_legal,1,2015,"state court legalized in 2014, descision was stayed, supreme court refused to overturn in 2015"
Margot,Margot,Georgia,same_sex_mariage_legal,1,2015,Obergefell
Margot,Margot,Hawaii,same_sex_mariage_legal,1,2013,"state supreme court considered legalization in 93, but was not legalized until passed by legislature in 2013"
Margot,Margot,Idaho,same_sex_mariage_legal,1,2014,"federal courts struck down ban, supreme court stayed ruling, and then lifted it later in the year"
Margot,Margot,Illinois,same_sex_mariage_legal,1,2013,"passed by the legislature, signed by gov"
Margot,Margot,Indiana,same_sex_mariage_legal,1,2014,"court of appeals ruling, supreme court rejected appeal"
Margot,Margot,Iowa,same_sex_mariage_legal,1,2009,"state district court ruling, upheld by state supreme court"
Margot,Margot,Kansas,same_sex_mariage_legal,1,2015,Obergefell
Margot,Margot,Kentucky,same_sex_mariage_legal,1,2015,Obergefell
Margot,Margot,Louisiana,same_sex_mariage_legal,1,2015,Obergefell
Margot,Margot,Maine,same_sex_mariage_legal,1,2012,"referendum, bill was passed to legalize in 09 but was struck down via referendum by voters before it could take effect"
Margot,Margot,Maryland,same_sex_mariage_legal,1,2012,"passed by legislature, signed by gov, approved by voters (first state to allow gay marraige by pop vote)"
Margot,Margot,Massachusetts,same_sex_mariage_legal,1,2003,"state supreme court, first state to legalize, first marriages were preformed in 04"
Margot,Margot,Michigan,same_sex_mariage_legal,1,2015,"Obergefell, briefly legal in 2014 due to district court order that was later stayed by the court of appeals"
Margot,Margot,Minnesota,same_sex_mariage_legal,1,2013,"passed by the legislature, first state to legalize through legislature rather than court"
Margot,Margot,Mississippi,same_sex_mariage_legal,1,2015,"Obergefell, district court legalized in 14, descision stayed pending appeal but Obergefell made appeal unnecessary"
Margot,Margot,Missouri,same_sex_mariage_legal,1,2015,"Obergefell, although certain jurisdictions recognized prior to Obergefell despite statewide ban due to court cases and/or their own initiative"
Margot,Margot,Montana,same_sex_mariage_legal,1,2014,"federal district court, Obergefell was handed down before appeal could go throgh"
Margot,Margot,Nebraska,same_sex_mariage_legal,1,2015,Obergefell
Margot,Margot,Nevada,same_sex_mariage_legal,1,2014,federal court of appeals
Margot,Margot,New Hampshire,same_sex_mariage_legal,1,2009,"legislature, signed by gov"
Margot,Margot,New Jersey,same_sex_mariage_legal,1,2013,"state superior court, leg passed in 2012, but it was vetoed by gov (christie)"
Margot,Margot,New Mexico,same_sex_mariage_legal,1,2013,state supreme court
Margot,Margot,New York,same_sex_mariage_legal,1,2011,"legislation passed by state legislature and signed by governor (cuomo), there had been prior attempts but none succeded"
Margot,Margot,North Carolina,same_sex_mariage_legal,1,2014,district court ruling
Margot,Margot,North Dakota,same_sex_mariage_legal,1,2015,Obergefell
Margot,Margot,Ohio,same_sex_mariage_legal,1,2015,Obergefell
Margot,Margot,Oklahoma,same_sex_mariage_legal,1,2014,"Tenth circuit court of appeals legalized, supreme court declined to review"
Margot,Margot,Oregon,same_sex_mariage_legal,1,2014,District court ruling overturned ban 
Margot,Margot,Pennsylvania,same_sex_mariage_legal,1,2014,federal district court ruling
Margot,Margot,Rhode Island,same_sex_mariage_legal,1,2013,passed by legislature and signed by gov
Margot,Margot,South Carolina,same_sex_mariage_legal,1,2014,federal court order
Margot,Margot,South Dakota,same_sex_mariage_legal,1,2015,Obergefell
Margot,Margot,Tennessee,same_sex_mariage_legal,1,2015,Obergefell
Margot,Margot,Texas,same_sex_mariage_legal,1,2015,Obergefell
Margot,Margot,Utah,same_sex_mariage_legal,1,2014,"Tenth circuit court of appeals legalized, supreme court declined to review"
Margot,Margot,Vermont,same_sex_mariage_legal,1,2009,"statute, first state to legalize by statute"
Margot,Margot,Virginia,same_sex_mariage_legal,1,2014,"fourth court of appeals ruling, supreme court declined to review"
Margot,Margot,Washington,same_sex_mariage_legal,1,2012,"passed by legislature, signed by gov, referendum approved by voters"
Margot,Margot,West Virginia,same_sex_mariage_legal,1,2014,"fourth court of appeals ruling, supreme court declined to review"
Margot,Margot,Wisconsin,same_sex_mariage_legal,1,2014,"appelate court ruling, supreme court declined to review"
Margot,Margot,Wyoming,same_sex_mariage_legal,1,2014,"federal district court found ban unconstitutional, state declined to appeal"
Jaden,Jaden,Alabama,dont_say_gay,1,1992," SB 72 ;repealed 2021. Implemented HB322 in 2022, applies to K-5"
Jaden,Jaden,Alaska,dont_say_gay,0,,
Jaden,Jaden,Arizona,dont_say_gay,0,1991,repealed 2019
Jaden,Jaden,Arkansas,dont_say_gay,1,2023,Applies to grades K-4. See SB294/Act 237
Jaden,Jaden,California,dont_say_gay,0,,
Jaden,Jaden,Colorado,dont_say_gay,0,,
Jaden,Jaden ,Connecticut,dont_say_gay,0,,
Jaden,Jaden,Delaware,dont_say_gay,0,,
Jaden,Jaden,Florida,dont_say_gay,1,2022,"See HB1557 (2022; K-3), HB1069 (2023; preK-8) and State Board of Education rules 6A-10.081 (2023; preK-12*)"
Jaden,Jaden,Georgia,dont_say_gay,0,,
Jaden,Jaden,Hawaii,dont_say_gay,0,,
Jaden,Jaden,Idaho,dont_say_gay,0,,
Jaden,Jaden,Illinois,dont_say_gay,0,,
Jaden,Jaden,Indiana,dont_say_gay,1,2023,Bans instruction. in K-3
Jaden,Jaden,Iowa,dont_say_gay,1,2023,"Bans instruction for grades K-6. See SF496 (2023), Section 16"
Jaden,Jaden,Kansas,dont_say_gay,0,,
Jaden,Jaden,Kentucky,dont_say_gay,1,2023,"Bans instruction for all grades K-12. See SB150 (2023), Section 2(1)(d)2"
Jaden,Jaden,Louisiana,dont_say_gay,0,,"Restriction in sex ed (1993, revised 2011) ""No sex education course offered in the public schools of the state shall utilize any sexually explicit materials depicting male or female homosexual activity."" Also bans discussions regarding practices in human sxuality"
Jaden,Jaden,Maine,dont_say_gay,0,,
Jaden,Jaden,Maryland,dont_say_gay,0,,
Jaden,Jaden,Massachusetts,dont_say_gay,0,,
Jaden,Jaden,Michigan,dont_say_gay,0,,
Jaden,Jaden,Minnesota,dont_say_gay,0,,
Jaden,Jaden,Mississippi,dont_say_gay,0,,Restrictions in Sex-ed
Jaden,Jaden,Missouri,dont_say_gay,0,,
Jaden,Jaden,Montana,dont_say_gay,0,,
Jaden,Jaden,Nebraska,dont_say_gay,0,,
Jaden,Jaden,Nevada,dont_say_gay,0,,
Jaden,Jaden,New Hampshire,dont_say_gay,0,,
Jaden,Jaden,New Jersey,dont_say_gay,0,,
Jaden,Jaden,New Mexico,dont_say_gay,0,,
Jaden,Jaden,New York,dont_say_gay,0,,
Jaden,Jaden,North Carolina,dont_say_gay,1,2023,"Has a Don't say gay policy that applies to grades K-4. See S49, §115C-76.55 (2023); Formly had a restriction that was repealed 2006; language on legal status of homosexual acts was removed, but language about heterosexual relationships remains"
Jaden,Jaden,North Dakota,dont_say_gay,0,,
Jaden,Jaden,Ohio,dont_say_gay,0,,
Jaden,Jaden,Oklahoma,dont_say_gay,0,,198719871987
Jaden,Jaden,Oregon,dont_say_gay,0,,
Jaden,Jaden,Pennsylvania,dont_say_gay,0,,
Jaden,Jaden,Rhode Island,dont_say_gay,0,,
Jaden,Jaden,South Carolina,dont_say_gay,0,,"restriction in 1988, repealed 2020"
Jaden,Jaden,South Dakota,dont_say_gay,0,,
Jaden,Jaden,Tennessee,dont_say_gay,0,,
Jaden,Jaden,Texas,dont_say_gay,0,,1991
Jaden,Jaden,Utah,dont_say_gay,0,,"Formerly had law restricting discussions of homosexuality in sex/health education (SB75, 2001; see former Utah Code § 53A-13-101), repealed by SB196 (2017)."
Jaden,Jaden,Vermont,dont_say_gay,0,,
Jaden,Jaden,Virginia,dont_say_gay,0,,
Jaden,Jaden,Washington,dont_say_gay,0,,
Jaden,Jaden,West Virginia,dont_say_gay,0,,
Jaden,Jaden,Wisconsin,dont_say_gay,0,,
Jaden,Jaden,Wyoming,dont_say_gay,0,,
Avery,,Alabama,bathroom_ban,1,2022,Schools
Avery,,Alaska,bathroom_ban,0,,
Avery,,Arizona,bathroom_ban,0,,
Avery,,Arkansas,bathroom_ban,1,2023,Schools
Avery,,California,bathroom_ban,0,,
Avery,,Colorado,bathroom_ban,0,,
Avery,,Connecticut,bathroom_ban,0,,
Avery,,Delaware,bathroom_ban,0,,
Avery,,Florida,bathroom_ban,1,2023,"Schools, colleges, govt. owned buildins, criminal penalties "
Avery,,Georgia,bathroom_ban,0,,
Avery,,Hawaii,bathroom_ban,0,,
Avery,,Idaho,bathroom_ban,1,2023,Schools
Avery,,Illinois,bathroom_ban,0,,
Avery,,Indiana,bathroom_ban,0,,
Avery,,Iowa,bathroom_ban,1,2023,Schools
Avery,,Kansas,bathroom_ban,0,,
Avery,,Kentucky,bathroom_ban,1,2023,Schools
Avery,,Louisiana,bathroom_ban,0,,
Avery,,Maine,bathroom_ban,0,,
Avery,,Maryland,bathroom_ban,0,,
Avery,,Massachusetts,bathroom_ban,0,,
Avery,,Michigan,bathroom_ban,0,,
Avery,,Minnesota,bathroom_ban,0,,
Avery,,Mississippi,bathroom_ban,0,,
Avery,,Missouri,bathroom_ban,0,,
Avery,,Montana,bathroom_ban,0,,
Avery,,Nebraska,bathroom_ban,0,,
Avery,,Nevada,bathroom_ban,0,,
Avery,,New Hampshire,bathroom_ban,0,,
Avery,,New Jersey,bathroom_ban,0,,
Avery,,New Mexico,bathroom_ban,0,,
Avery,,New York,bathroom_ban,0,,
Avery,,North Carolina,bathroom_ban,1,2016,Repealed
Avery,,North Dakota,bathroom_ban,1,2023,"Schools, some govt. owned buildings"
Avery,,Ohio,bathroom_ban,0,,
Avery,,Oklahoma,bathroom_ban,1,2022,Schools
Avery,,Oregon,bathroom_ban,0,,
Avery,,Pennsylvania,bathroom_ban,0,,
Avery,,Rhode Island,bathroom_ban,0,,
Avery,,South Carolina,bathroom_ban,0,,
Avery,,South Dakota,bathroom_ban,0,,
Avery,,Tennessee,bathroom_ban,1,2021,Schools
Avery,,Texas,bathroom_ban,0,,
Avery,,Utah,bathroom_ban,0,,
Avery,,Vermont,bathroom_ban,0,,
Avery,,Virginia,bathroom_ban,0,,
Avery,,Washington,bathroom_ban,0,,
Avery,,West Virginia,bathroom_ban,0,,
Avery,,Wisconsin,bathroom_ban,0,,
Avery,,Wyoming,bathroom_ban,0,,
Avery,,Alabama,gac_ban,1,2022,Blocked by courts
Avery,,Alaska,gac_ban,0,,
Avery,,Arizona,gac_ban,1,2022,Only surgery ban in effect
Avery,,Arkansas,gac_ban,1,2021,"Veto overruled, now permanently blocked by courts"
Avery,,California,gac_ban,0,,
Avery,,Colorado,gac_ban,0,,
Avery,,Connecticut,gac_ban,0,,
Avery,,Delaware,gac_ban,0,,
Avery,,Florida,gac_ban,1,2023,"Multiple laws (both through Board of Medicine Regulation and legislation), both blocked"
Avery,,Georgia,gac_ban,1,2023,"Ban in effect, ban on medication paused by courts but now en effect again"
Avery,,Hawaii,gac_ban,0,,
Avery,,Idaho,gac_ban,1,2023,Ban starts January 1st 2024
Avery,,Illinois,gac_ban,0,,
Avery,,Indiana,gac_ban,1,2023,Ban on medication (not surgical care) blocked by courts
Avery,,Iowa,gac_ban,1,2023,In effect
Avery,,Kansas,gac_ban,0,,
Avery,,Kentucky,gac_ban,1,2023,"Temporarily blocked by courts, now in effect"
Avery,,Louisiana,gac_ban,1,2023,Will start January 2024
Avery,,Maine,gac_ban,0,,
Avery,,Maryland,gac_ban,0,,
Avery,,Massachusetts,gac_ban,0,,
Avery,,Michigan,gac_ban,0,,
Avery,,Minnesota,gac_ban,0,,
Avery,,Mississippi,gac_ban,1,2023,In effect
Avery,,Missouri,gac_ban,1,2023,"In effect, injunction denied"
Avery,,Montana,gac_ban,1,2023,Blocked by courts 
Avery,,Nebraska,gac_ban,1,2023,In effect
Avery,,Nevada,gac_ban,0,,
Avery,,New Hampshire,gac_ban,0,,
Avery,,New Jersey,gac_ban,0,,
Avery,,New Mexico,gac_ban,0,,
Avery,,New York,gac_ban,0,,
Avery,,North Carolina,gac_ban,1,2023,In effect
Avery,,North Dakota,gac_ban,1,2023,In effect
Avery,,Ohio,gac_ban,1,2023,
Avery,,Oklahoma,gac_ban,1,2023,In effect
Avery,,Oregon,gac_ban,0,,
Avery,,Pennsylvania,gac_ban,0,,
Avery,,Rhode Island,gac_ban,0,,
Avery,,South Carolina,gac_ban,0,,
Avery,,South Dakota,gac_ban,1,2023,In effect
Avery,,Tennessee,gac_ban,1,2023,"In effect, orignally medication ban ovverruled by courts"
Avery,,Texas,gac_ban,1,2023,"In effect, was blocked by courts but state appealed"
Avery,,Utah,gac_ban,1,2023,In effect
Avery,,Vermont,gac_ban,0,,
Avery,,Virginia,gac_ban,0,,
Avery,,Washington,gac_ban,0,,
Avery,,West Virginia,gac_ban,1,2023,Starts January 1st 2024
Avery,,Wisconsin,gac_ban,0,,
Avery,,Wyoming,gac_ban,0,,
Grace,Grace,Alabama,lgbt_discrim_protect,0,,this is for any type of expansive non-discrimination law
Grace,Grace,Alaska,lgbt_discrim_protect,1,2020,"state agency interprets (housing discrim, post Bostock), interpretation is rescinded? unsure about this one (2020); state employees 2002"
Grace,Grace,Arizona,lgbt_discrim_protect,1,2020,state agency interprets (employment) (repealed interpretation?)
Grace,Grace,Arkansas,lgbt_discrim_protect,0,,
Grace,Grace,California,lgbt_discrim_protect,1,1992,
Grace,Grace,Colorado,lgbt_discrim_protect,1,2007,"state employment discrimination only, all other 2007"
Grace,Grace,Connecticut,lgbt_discrim_protect,1,1991,
Grace,Grace,Delaware,lgbt_discrim_protect,1,2006,maybe 2006 if school guidance counts
Grace,Grace,Florida,lgbt_discrim_protect,1,2020,state agency interprets
Grace,Grace,Georgia,lgbt_discrim_protect,0,,
Grace,Grace,Hawaii,lgbt_discrim_protect,1,1991,
Grace,Grace,Idaho,lgbt_discrim_protect,0,,
Grace,Grace,Illinois,lgbt_discrim_protect,1,2005,executive order 1996 for state employees; all else 2005/2006
Grace,Grace,Indiana,lgbt_discrim_protect,0,,exeuctive order for state employees
Grace,Grace,Iowa,lgbt_discrim_protect,1,2007,executive order 1999 for state employees; all else 2007
Grace,Grace,Kansas,lgbt_discrim_protect,1,2020,"state agency interprets (housing discrim, post Bostock); state employees 2007, all else 2020"
Grace,Grace,Kentucky,lgbt_discrim_protect,1,2021,"state agency interprets (housing discrim, post Bostock); state employees 2008, all else 2021"
Grace,Grace,Louisiana,lgbt_discrim_protect,0,,"state employees only, expired 1996 then brought back 2004 and expired 2008, brough back 2016 struck down 2017"
Grace,Grace,Maine,lgbt_discrim_protect,1,2005,
Grace,Grace,Maryland,lgbt_discrim_protect,1,2001,state employees only 1995; all else 2001
Grace,Grace,Massachusetts,lgbt_discrim_protect,1,1989,
Grace,Grace,Michigan,lgbt_discrim_protect,1,2016,"state agency interprets starting in 2018, enumerated 2022; state employees only 2003; explicit guideance 2016"
Grace,Grace,Minnesota,lgbt_discrim_protect,1,1993,
Grace,Grace,Mississippi,lgbt_discrim_protect,0,,
